Title,Year,Genre,budget,opening weekend,worldwide gross,Rotten Tomatoes score
2012,2009,"Action, Adventure, Sci-Fi",200000000.0,13186963.766666668,791217826.0,39
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",130000000.0,13294346.1,797660766.0,90
Shrek the Third,2007,"Animation, Adventure, Comedy",160000000.0,13556123.0,813367380.0,41
Independence Day,1996,"Action, Adventure, Sci-Fi",75000000.0,13623348.183333334,817400891.0,67
Up,2009,"Animation, Adventure, Comedy",175000000.0,12251651.7,735099102.0,98
The Matrix Reloaded,2003,"Action, Sci-Fi",150000000.0,12364132.283333333,741847937.0,73
Monsters University,2013,"Animation, Adventure, Comedy",200000000.0,12392660.75,743559645.0,80
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",250000000.0,12434095.0,746045700.0,90
Suicide Squad,2016,"Action, Adventure, Fantasy",175000000.0,12447448.233333332,746846894.0,26
Madagascar 3: Europe's Most Wanted,2012,"Animation, Adventure, Comedy",145000000.0,12448687.9,746921274.0,78
Gravity,2013,"Drama, Sci-Fi, Thriller",105000000.0,12467499.15,748049949.0,96
Shrek Forever After,2010,"Animation, Adventure, Comedy",165000000.0,12543347.783333333,752600867.0,57
The Hunger Games: Mockingjay - Part 1,2014,"Action, Adventure, Sci-Fi",125000000.0,12589278.516666668,755356711.0,69
The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi",215000000.0,12632177.716666667,757930663.0,71
Maleficent,2014,"Adventure, Family, Fantasy",180000000.0,12664228.083333334,759853685.0,54
The Da Vinci Code,2006,"Mystery, Thriller",125000000.0,12666782.416666666,760006945.0,25
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",170000000.0,12889169.116666667,773350147.0,92
Interstellar,2014,"Adventure, Drama, Sci-Fi",165000000.0,12897786.933333334,773867216.0,73
Big Hero 6,2014,"Animation, Action, Adventure",165000000.0,10964494.766666668,657869686.0,90
Kung Fu Panda 2,2011,"Animation, Action, Adventure",150000000.0,11094871.35,665692281.0,81
Man of Steel,2013,"Action, Adventure, Sci-Fi",225000000.0,11134091.966666667,668045518.0,56
The Sixth Sense,1999,"Drama, Mystery, Thriller",40000000.0,11213440.533333333,672806432.0,86
Forrest Gump,1994,"Drama, Romance",55000000.0,11303774.416666666,678226465.0,71
The Hunger Games,2012,"Action, Adventure, Sci-Fi",75000000.0,11573245.4,694394724.0,84
Mamma Mia!,2008,"Comedy, Musical, Romance",52000000.0,11574613.033333333,694476782.0,55
The Twilight Saga: Eclipse,2010,"Action, Adventure, Drama",68000000.0,11641830.416666666,698509825.0,47
The Amazing Spider-Man 2,2014,"Action, Adventure, Sci-Fi",200000000.0,11816372.05,708982323.0,51
Transformers,2007,"Action, Adventure, Sci-Fi",150000000.0,11828496.333333334,709709780.0,58
The Twilight Saga: New Moon,2009,"Adventure, Drama, Fantasy",50000000.0,11850424.683333334,711025481.0,29
Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi",170000000.0,11907025.05,714421503.0,90
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",145000000.0,10358958.65,621537519.0,92
Ratatouille,2007,"Animation, Adventure, Comedy",150000000.0,10395434.75,623726085.0,96
Iron Man 2,2010,"Action, Sci-Fi",200000000.0,10398888.85,623933331.0,71
Fast Five,2011,"Action, Crime, Thriller",125000000.0,10435627.916666666,626137675.0,78
Hancock,2008,"Action, Drama, Fantasy",150000000.0,10490723.8,629443428.0,41
The Martian,2015,"Adventure, Drama, Sci-Fi",108000000.0,10510346.966666667,630620818.0,91
The Incredibles,2004,"Animation, Action, Adventure",92000000.0,10526784.216666667,631607053.0,87
Kung Fu Panda,2008,"Animation, Action, Adventure",130000000.0,10534719.95,632083197.0,87
Thor: The Dark World,2013,"Action, Adventure, Fantasy",170000000.0,10746385.666666666,644783140.0,66
