Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Charlie's Angels,2000,"Action, Adventure, Comedy",98,264105545,5.6,189182,52,68,52
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126,263920180,7.6,478922,52,71,52
Jumanji,1995,"Adventure, Comedy, Family",104,262821940,7,351723,39,52,39
Parasite,2019,"Drama, Thriller",132,262676096,8.5,813970,96,99,96
Borat,2006,Comedy,84,262552893,7.3,414611,89,90,89
Robots,2005,"Animation, Adventure, Comedy",91,262511490,6.4,150881,64,64,64
Knight and Day,2010,"Action, Adventure, Comedy",109,261989769,6.3,198944,46,52,46
Total Recall,1990,"Action, Adventure, Sci-Fi",113,261317921,7.5,334928,60,83,60
This Is It,2009,"Documentary, Drama, Music",111,261183588,7.2,40848,67,81,67
Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",128,261119292,6.2,180866,54,70,54
The Lone Ranger,2013,"Action, Adventure, Western",150,260502115,6.4,236832,37,31,37
Super 8,2011,"Action, Mystery, Sci-Fi",112,260095986,7,356676,72,81,72
Halloween,1978,"Horror, Thriller",91,259939835,7.7,284460,87,96,87
Mojin: The Lost Legend,2015,"Action, Adventure, Drama",127,259368448,5.9,4044,48,56,48
Charlie's Angels: Full Throttle,2003,"Action, Adventure, Comedy",106,259175788,4.9,129305,48,41,48
Rush Hour 3,2007,"Action, Comedy, Crime",91,258097122,6.2,171791,44,17,44
The Full Monty,1997,"Comedy, Drama",91,257938649,7.2,108101,75,96,75
Kung Fu Yoga,2017,"Action, Adventure, Comedy",107,257753889,5.1,10589,50,48,50
Annabelle,2014,"Horror, Mystery, Thriller",99,257589721,5.4,162531,37,28,37
Encanto,2021,"Animation, Comedy, Family",102,256786742,7.2,227336,75,28,75
The Village,2004,"Drama, Mystery, Thriller",108,256697520,6.6,264867,44,43,44
Lost in Hong Kong,2015,"Action, Adventure, Comedy",114,256283912,5.4,1737,,60,44
Erin Brockovich,2000,"Biography, Drama",131,256271286,7.4,201852,73,85,73
Us,2019,"Horror, Mystery, Thriller",116,256067149,6.8,305619,81,93,81
Pegasus,2019,"Comedy, Sport",98,255863112,6.3,1953,,93,81
Get Out,2017,"Horror, Mystery, Thriller",104,255745157,7.7,621681,85,98,85
Marley & Me,2008,"Drama, Family",115,255743093,7,160662,53,63,53
Cliffhanger,1993,"Action, Adventure, Thriller",113,255000211,6.5,131949,60,67,60
Baahubali 2: The Conclusion,2017,"Action, Drama",167,254158390,8.2,103416,,87,60
Babe,1995,"Comedy, Drama, Family",91,254134910,6.9,127429,83,97,83
Men in Black: International,2019,"Action, Adventure, Comedy",114,253890701,5.6,136940,38,23,38
Wild Hogs,2007,"Action, Adventure, Comedy",100,253625427,5.8,120097,27,14,27
High School Musical 3: Senior Year,2008,"Comedy, Drama, Family",112,252909177,4.9,63961,57,64,57
Hercules,1997,"Animation, Adventure, Comedy",93,252712101,7.3,235791,74,82,74
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi",113,252442974,5.7,189973,43,22,43
True Grit,2010,"Drama, Western",110,252276927,7.6,342425,80,95,80
Dolittle,2020,"Adventure, Comedy, Family",101,251410631,5.6,65963,26,15,26
Bean,1997,"Adventure, Comedy, Family",89,251212670,6.5,106691,52,43,52
American Hustle,2013,"Crime, Drama",138,251171807,7.2,483281,90,92,90
Enemy of the State,1998,"Action, Thriller",132,250849789,7.3,247655,67,70,67
You've Got Mail,1998,"Comedy, Drama, Romance",119,250821495,6.7,217703,57,70,57
Eragon,2006,"Action, Adventure, Family",104,250425512,5.1,127490,38,70,38
Brother Bear,2003,"Animation, Adventure, Comedy",85,250397798,6.8,113422,48,37,48
The Godfather,1972,"Crime, Drama",175,250341816,9.2,1868934,100,97,100
The Mask of Zorro,1998,"Action, Adventure, Comedy",136,250288523,6.8,187957,63,83,63
The Bad Guys,2022,"Animation, Adventure, Comedy",100,250162278,6.8,43714,64,88,64
The Ring,2002,"Horror, Mystery",115,249348933,7.1,354236,57,71,57
The Blair Witch Project,1999,"Horror, Mystery",81,248639099,6.5,266164,81,86,81
Unbreakable,2000,"Drama, Mystery, Sci-Fi",106,248118121,7.3,421544,62,70,62
Love Actually,2003,"Comedy, Drama, Romance",135,247933248,7.6,499811,55,64,55
Journey to the West: The Demons Strike Back,2017,"Adventure, Comedy, Fantasy",109,247585244,5.4,3281,59,58,59
Dumb and Dumber,1994,Comedy,107,247290327,7.3,390796,41,68,41
Glass,2019,"Drama, Horror, Sci-Fi",129,246999039,6.6,247681,43,36,43
Grown Ups 2,2013,Comedy,101,246984278,5.3,157553,19,8,19
The Peanuts Movie,2015,"Animation, Adventure, Comedy",88,246233113,7,47045,67,87,67
Rango,2011,"Animation, Action, Adventure",107,245724603,7.2,270734,75,88,75
Four Weddings and a Funeral,1994,"Comedy, Drama, Romance",117,245700832,7.1,155801,81,96,81
Face/Off,1997,"Action, Crime, Sci-Fi",138,245676146,7.3,381980,82,92,82
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action, Adventure, Comedy",112,245623848,5.9,94758,40,37,40
Dark Shadows,2012,"Comedy, Fantasy, Horror",113,245527149,6.2,270585,55,35,55
Hulk,2003,"Action, Sci-Fi",138,245285165,5.6,270620,54,62,54
The Bravest,2019,"Action, Drama",118,245179562,5.7,1010,,62,54
Welcome to the Sticks,2008,"Comedy, Romance",106,245144417,7.1,42790,,67,54
Back to the Future Part III,1990,"Adventure, Comedy, Sci-Fi",118,245077583,7.4,451787,55,80,55
Pixels,2015,"Action, Comedy, Fantasy",105,244874809,5.6,147383,27,18,27
Hercules,1997,"Animation, Adventure, Comedy",93,244819862,7.3,235791,74,82,74
Rush Hour,1998,"Action, Comedy, Crime",98,244721064,7,273549,60,61,60
Journey to the Center of the Earth,2008,"Action, Adventure, Family",93,244232688,5.8,125048,57,61,57
After Earth,2013,"Action, Adventure, Sci-Fi",100,243611982,4.8,203075,33,12,33
A Few Good Men,1992,"Drama, Thriller",138,243240178,7.7,268410,62,84,62
Cloudy with a Chance of Meatballs,2009,"Animation, Adventure, Comedy",90,243006126,6.9,238178,66,86,66
8 Mile,2002,"Drama, Music",110,242875078,7.2,295430,77,75,77
Daddy's Home,2015,"Comedy, Family",96,242786137,6.1,122407,42,30,42
RoboCop,1987,"Action, Crime, Sci-Fi",102,242688965,7.6,262833,70,91,70
Eraser,1996,"Action, Crime, Thriller",115,242295562,6.2,113693,56,42,56
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",122,240891763,6.4,284772,65,65,65
Sully,2016,"Biography, Drama",96,240797623,7.4,276215,74,85,74
Assassin's Creed,2016,"Action, Adventure, Sci-Fi",115,240697856,5.6,201159,36,19,36
Click,2006,"Comedy, Drama, Fantasy",107,240685326,6.4,335749,45,34,45
Legend of Deification,2020,"Animation, Action, Adventure",110,240646355,6.5,1928,,83,45
Planes,2013,"Animation, Adventure, Comedy",91,240171783,5.7,46187,39,25,39
Resident Evil: Retribution,2012,"Action, Horror, Sci-Fi",95,240159255,5.3,144567,39,28,39
Die Hard 2,1990,"Action, Thriller",124,240031274,7.1,367196,67,70,67
Crocodile Dundee II,1988,"Action, Adventure, Comedy",108,239606210,5.7,58195,41,9,41
Bullet Train,2022,"Action, Comedy, Thriller",127,239268602,7.3,269044,49,54,49
Crazy Rich Asians,2018,"Comedy, Drama, Romance",120,238843729,6.9,175877,74,91,74
Batman & Robin,1997,"Action, Sci-Fi",125,238235719,3.7,256531,28,12,28
Howl's Moving Castle,2004,"Animation, Adventure, Family",119,237536126,8.2,400809,80,87,80
Gulliver's Travels,2010,"Adventure, Comedy, Family",85,237382724,4.9,70624,33,20,33
Gone in 60 Seconds,2000,"Action, Crime, Thriller",118,237202299,6.5,282125,35,25,35
Saturday Night Fever,1977,"Drama, Music",118,237113184,6.8,82090,77,83,77
Silver Linings Playbook,2012,"Comedy, Drama, Romance",122,236412453,7.7,714483,81,92,81
2 Fast 2 Furious,2003,"Action, Crime, Thriller",107,236350661,5.9,277551,38,36,38
Hidden Figures,2016,"Biography, Drama, History",127,235956898,7.8,234299,74,93,74
A.I. Artificial Intelligence,2001,"Drama, Sci-Fi",146,235926552,7.2,311117,65,75,65
Dead Poets Society,1989,"Comedy, Drama",128,235860116,8.1,497496,79,84,79
Spy,2015,"Action, Comedy",120,235666219,7,247452,75,95,75
American Pie,1999,Comedy,95,235483004,7,412291,58,61,58
American Reunion,2012,Comedy,113,234989584,6.7,216622,49,45,49
Big Daddy,1999,"Comedy, Drama",93,234801895,6.4,220987,41,39,41
Alvin and the Chipmunks: The Road Chip,2015,"Animation, Adventure, Comedy",92,234798636,4.9,20430,33,15,33
The Imitation Game,2014,"Biography, Drama, Thriller",114,233555708,8,776268,71,90,71
Cruella,2021,"Adventure, Comedy, Crime",134,233503234,7.3,237172,59,75,59
The Day the Earth Stood Still,2008,"Adventure, Drama, Sci-Fi",104,233093859,5.5,172313,40,20,40
American Wedding,2003,Comedy,96,232722935,6.3,209029,43,53,43
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158,232617430,7.8,468384,71,86,71
Juno,2007,"Comedy, Drama",96,232372681,7.5,527255,81,94,81
Argo,2012,"Biography, Drama, Thriller",120,232325503,7.7,618618,86,96,86
Mr. Bean's Holiday,2007,"Comedy, Family",90,232225908,6.4,128266,56,51,56
The English Patient,1996,"Drama, Romance, War",162,231976425,7.4,192110,87,86,87
Sister Act,1992,"Comedy, Family, Music",100,231605150,6.5,101353,51,74,51
Annabelle Comes Home,2019,"Horror, Mystery, Thriller",106,231252591,5.9,77864,53,64,53
Constantine,2005,"Action, Fantasy, Horror",121,230884728,7,351000,50,46,50
Get Smart,2008,"Action, Adventure, Comedy",110,230685453,6.5,220664,54,51,54
Space Jam,1996,"Animation, Adventure, Comedy",88,230594962,6.5,200254,59,43,59
Life Is Beautiful,1997,"Comedy, Drama, Romance",116,230098753,8.6,698534,59,80,59
The Heat,2013,"Action, Comedy, Crime",117,229930771,6.6,174451,60,66,60
Ghostbusters,1984,"Action, Comedy, Fantasy",105,229147509,7.8,420236,71,95,71
Ghost Rider,2007,"Action, Fantasy, Thriller",110,228738393,5.2,242268,35,27,35
Goodbye Mr. Loser,2015,Comedy,104,228122928,6.7,3062,,27,35
Paddington 2,2017,"Adventure, Comedy, Family",103,227994792,7.8,81957,88,99,88
Sleepless in Seattle,1993,"Comedy, Drama, Romance",105,227927165,6.8,179392,72,75,72
Lethal Weapon 2,1989,"Action, Crime, Thriller",114,227853986,7.2,179226,70,82,70
The Green Hornet,2011,"Action, Comedy, Crime",119,227817248,5.8,161712,39,44,39
Out of Africa,1985,"Biography, Drama, Romance",161,227514205,7.1,81244,69,61,69
Elf,2003,"Adventure, Comedy, Family",97,227356156,7,284419,64,85,64
Youth,2015,"Comedy, Drama, Music",124,227091290,7.3,79856,64,71,64
Baby Driver,2017,"Action, Crime, Drama",113,226945087,7.6,548438,86,92,86
Immortals,2011,"Action, Drama, Fantasy",110,226904017,6,170638,46,49,46
Taken,2008,"Action, Crime, Thriller",90,226837760,7.8,607261,51,59,51
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy",118,226497209,5.8,191317,47,49,47
Lightyear,2022,"Animation, Action, Adventure",105,226425420,6.1,107450,60,74,60
Hansel & Gretel: Witch Hunters,2013,"Action, Fantasy, Horror",88,226349749,6.1,209119,23,16,23
Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",136,225973340,6.4,184490,51,48,51
Good Will Hunting,1997,"Drama, Romance",126,225933435,8.3,979917,70,97,70
Better Days,2019,"Crime, Drama, Romance",135,225918798,7.5,10422,83,97,83
Ford v Ferrari,2019,"Action, Biography, Drama",152,225508210,8.1,400889,81,92,81
Jumper,2008,"Action, Adventure, Sci-Fi",88,225132113,6.1,309893,35,15,35
The Social Network,2010,"Biography, Drama",120,224920375,7.8,710400,95,96,95
Chicken Run,2000,"Animation, Adventure, Comedy",84,224874811,7.1,195752,88,97,88
Con Air,1997,"Action, Crime, Thriller",115,224012234,6.9,303685,52,58,52
Interview with the Vampire: The Vampire Chronicles,1994,"Drama, Fantasy, Horror",123,223664608,7.5,327730,59,64,59
Flightplan,2005,"Drama, Mystery, Thriller",98,223387299,6.3,164623,53,37,53
